route_id,calendar_id,shape_id,headsign,direction_id,block_id
10,2,27,,0,c2d15b76-d72b-421e-b20c-e980a3b42e92
9,2,10,,0,2f9c6b11-f5a9-4c7f-b23d-256c0b21e5c3
13,2,2,,0,49d14bac-fcdd-4c5a-a5fc-3f67a27a94dc
12,2,26,,0,c4efe4e9-5b13-41d3-b782-100bc88aca1b
11,2,18,,0,1304e690-e977-45e5-8e2d-040e4b5bc94d
8,2,1,,0,bc81420d-a0a4-49d2-82d3-b4d754aefd48
6,2,8,,0,3774a840-257d-477e-bc45-b1457739f86e
13,2,9,,0,763b9e79-5fda-45b4-b7b5-a25bc1bbb292
10,2,27,,0,d729dc6c-4c04-4000-9c06-d641db1397e1
4,2,12,,0,b1ea538d-e8e7-45be-add1-65ccf23cd1b5
9,2,16,,0,53a9c153-202e-461d-907b-c6bbfbd1e10e
9,2,10,,0,2f9c6b11-f5a9-4c7f-b23d-256c0b21e5c3
10,2,25,,0,d729dc6c-4c04-4000-9c06-d641db1397e1
11,2,18,,0,2c3bb9fd-da7b-4c15-ba54-3b7a22046c94
6,2,20,,0,3774a840-257d-477e-bc45-b1457739f86e
1,2,19,,0,0910f2cb-9fe2-4108-8056-ccd440e7f057
13,2,9,,0,63e73c44-2817-4715-b116-b2008f196325
