shape_id,pt_lan,pt_lon,pt_sequence,shape_dist_traveled
13,30.67262698,-96.37206265,14,9693.42
9,30.61488975,-96.34493344,3,478.85
2,30.61496887,-96.34483152,17,4226.35
10,30.61484415,-96.34494953,4,551.91
16,30.61273996,-96.34548061,21,3947.88
17,30.61348159,-96.3448865,5,832.65
17,30.61486024,-96.34496831,4,679.25
18,30.61345342,-96.34485834,13,2418.43
4,30.60839344,-96.34598487,15,1801.07
1,30.62565614,-96.30693861,24,13175.91
10,30.60167182,-96.35764711,20,3529.14
2,30.62232081,-96.358606,24,6443.62
10,30.59922565,-96.35675394,22,3870.14
19,30.60388733,-96.34001963,18,7080.52
9,30.61247174,-96.34289496,27,7565
20,30.61848793,-96.3344849,11,2054.81
2,30.62222961,-96.35862344,3,1316.69
10,30.60954142,-96.34719186,9,1302.41
14,30.62407229,-96.31282471,8,4935.61
12,30.62112723,-96.33862086,19,2718.04
21,30.586402,-96.34378411,9,4352.75
6,30.62067393,-96.32055082,13,5992.96
22,30.60641128,-96.31639071,6,2554.31
11,30.62271241,-96.32900514,22,10244.97
8,30.62029708,-96.33764454,5,983.5
10,30.60217071,-96.35311686,14,2458.31
23,30.60291502,-96.34711542,3,1286.82
3,30.61638374,-96.3432289,19,3089.21
9,30.61354194,-96.3413366,28,7755.66
9,30.62226448,-96.35865294,20,5342.48
24,30.60733531,-96.30911924,10,3404
17,30.61012346,-96.35329657,15,2508.5
25,30.60518686,-96.32892736,4,837.6
11,30.62565614,-96.30693861,24,13175.91
11,30.61515931,-96.33733072,17,8947.97
22,30.61122853,-96.30928554,23,6621.55
21,30.60388733,-96.34001963,18,7098.63
10,30.59946168,-96.35218882,25,4395.64
9,30.61265279,-96.34572737,6,752.89
22,30.6191786,-96.30020894,16,5234.5
26,30.61115611,-96.34198569,15,3019.79
10,30.60120378,-96.35825866,21,3607.41
12,30.61635155,-96.34329998,5,1090.98
24,30.60711671,-96.31767147,5,2408.89
17,30.61127145,-96.34743862,20,3551.94
27,30.59959043,-96.32662736,8,1645.64
18,30.60927052,-96.35383972,21,3987.71
1,30.64236764,-96.29037328,7,2028.41
4,30.6104574,-96.34304919,13,1438.54
25,30.60896341,-96.33430653,1,166.3
24,30.61759722,-96.30206389,17,5510.18
18,30.61591838,-96.34336569,11,2073.29
18,30.61252672,-96.34325035,8,1515.65
20,30.62259976,-96.34023287,15,2841.56
17,30.61232958,-96.34545245,21,3775.33
3,30.61018515,-96.34342872,15,2137.28
19,30.59291709,-96.33809783,4,2491.37
19,30.59196625,-96.34420522,14,5451.63
2,30.61128218,-96.34722673,10,3064.97
9,30.61556432,-96.36588015,19,4326.63
21,30.61095897,-96.33605533,20,8168.22
10,30.59828419,-96.3544459,17,3014.33
12,30.62182594,-96.33824401,11,2069.29
1,30.61670024,-96.33506962,18,9223.79
26,30.6124771,-96.34527945,12,2616.1
17,30.61083693,-96.35414683,16,2622.07
2,30.61589826,-96.3433268,16,4049.23
4,30.60959238,-96.34698265,17,1964.95
20,30.61966274,-96.33501195,5,798.61
4,30.61113197,-96.34201252,12,1314.25
24,30.6135017,-96.30216427,13,4359.16
1,30.62571783,-96.30689837,9,4468.25
3,30.62315229,-96.33893736,27,4346.61
1,30.62271241,-96.32900514,22,10244.97
18,30.61012346,-96.35329657,23,4144.76
3,30.61291162,-96.34448417,11,1640.53
14,30.62075037,-96.32093974,12,6004.07
8,30.62122244,-96.33838617,6,1108.41
4,30.61120842,-96.3471704,7,683.7
24,30.61479319,-96.32790409,32,9041.04
22,30.60631741,-96.31401159,25,7333.93
