typeofrack,typeQuantity,total_Capacity,lat,lon
Potato Masher,2,4,30.62777331,-96.34135911
Potato Masher,1,2,30.62765221,-96.34150861
Potato Masher,7,8,30.62764186,-96.34094059
Potato Masher,3,4,30.62756994,-96.34111075
Potato Masher,1,1,30.62723976,-96.34148435
Potato Masher,1,1,30.62744587,-96.34173292
Potato Masher,2,4,30.62747819,-96.34192475
Potato Masher,2,4,30.62770713,-96.34222172
Potato Masher,2,4,30.62802632,-96.34206674
Potato Masher,2,2,30.62775955,-96.3416954
U,2,2,30.62735469,-96.34126316
Potato Masher,1,1,30.62688916,-96.34274496
Potato Masher,1,1,30.6271292,-96.34248408
Potato Masher,2,2,30.62691889,-96.342199
Potato Masher,2,2,30.6267088,-96.34189832
Potato Masher,2,2,30.62644213,-96.34219284
Potato Masher,1,1,30.62629809,-96.34240968
Potato Masher,1,1,30.62649786,-96.3426643
Potato Masher,1,1,30.62667299,-96.34287161
Potato Masher,2,2,30.6266863,-96.34247076
Potato Masher,12,19,30.62729289,-96.34081608
Potato Masher,4,8,30.6268526,-96.34129366
Potato Masher,1,2,30.62671495,-96.34139551
Potato Masher,1,1,30.6265013,-96.34167055
Potato Masher,1,1,30.62628271,-96.34190744
Potato Masher,1,1,30.62605574,-96.34214026
Potato Masher,2,10,30.62615356,-96.34214603
Potato Masher,1,5,30.62650758,-96.34008447
Ring,1,8,30.62951682,-96.34165254
Potato Masher,1,4,30.61471109,-96.34472911
Potato Masher,2,8,30.62294756,-96.33689468
Potato Masher,3,18,30.62223067,-96.33852067
Potato Masher,3,18,30.62303538,-96.33920508
Potato Masher,4,24,30.6224377,-96.33977034
Potato Masher,1,6,30.61806506,-96.35407746
Coat Hanger,2,20,30.60117411,-96.34567245
Coat Hanger,2,20,30.600682,-96.3460904
VH,1,12,30.60208,-96.35437637
Potato Masher,1,4,30.60157299,-96.35376094
Potato Masher,1,6,30.6153458,-96.36909169
Potato Masher,1,6,30.61536228,-96.36903151
Potato Masher,1,6,30.61538284,-96.36896726
Potato Masher,1,6,30.61540488,-96.36890181
Potato masher,1,7,30.61420354,-96.34041955
Ring,1,32,30.61418357,-96.34039965
Coat Hanger,1,10,30.61806681,-96.35407564
